Book,Chapter,Verse,Content
2 Царів,25,30,"його —"
2 Царів,25,30,"харчове —"
1 Паралипоменон,2,3,", —"
1 Паралипоменон,2,13,"другий —"
1 Паралипоменон,2,13,"третій —"
1 Паралипоменон,2,14,"Четвертий —"
1 Паралипоменон,2,14,"пятий —"
1 Паралипоменон,2,15,"Шестий —"
1 Паралипоменон,2,17,"Амессин —"
1 Паралипоменон,2,23,", —"
1 Паралипоменон,2,42,", —"
1 Паралипоменон,2,42,", —"
1 Паралипоменон,2,49,"Халебова —"
1 Паралипоменон,2,54,"Менухотян —"
1 Паралипоменон,3,1,"другий —"
1 Паралипоменон,3,2,"Третий —"
1 Паралипоменон,3,2,"четвертий —"
1 Паралипоменон,3,3,"Пятий —"
1 Паралипоменон,3,8,"Елифелет —"
1 Паралипоменон,3,22,"Шафат —"
1 Паралипоменон,3,23,"Азрикам —"
1 Паралипоменон,3,24,"Анані —"
1 Паралипоменон,4,32,", —"
1 Паралипоменон,5,1,", —"
1 Паралипоменон,5,18,", —"
1 Паралипоменон,5,26,", —"
1 Паралипоменон,6,10,", —"
1 Паралипоменон,6,33,"Кагатових —"
1 Паралипоменон,6,39,", —"
1 Паралипоменон,6,44,", —"
1 Паралипоменон,6,60,"Беняминового —"
1 Паралипоменон,6,60,"родинах —"
1 Паралипоменон,6,70,"поколїння —"
1 Паралипоменон,6,72,"поколїння —"
1 Паралипоменон,6,74,"поколїння —"
1 Паралипоменон,6,76,"поколїння —"
1 Паралипоменон,6,77,"потомків —"
1 Паралипоменон,6,77,"поколїння —"
1 Паралипоменон,6,78,", —"
1 Паралипоменон,6,80,"поколїння —"
1 Паралипоменон,7,1,"Симрон —"
1 Паралипоменон,7,3,", —"
1 Паралипоменон,7,6,", —"
1 Паралипоменон,7,7,", —"
1 Паралипоменон,7,9,"спосібних —"
1 Паралипоменон,7,11,", —"
1 Паралипоменон,7,15,", —"
1 Паралипоменон,8,18,", —"
1 Паралипоменон,8,21,", —"
1 Паралипоменон,8,25,", —"
1 Паралипоменон,8,27,", —"
1 Паралипоменон,8,29,", —"
1 Паралипоменон,9,4,", —"
1 Паралипоменон,9,5,"Шилона —"
1 Паралипоменон,9,6,"Зари —"
1 Паралипоменон,9,7,"Беняминових —"
1 Паралипоменон,9,9,", —"
1 Паралипоменон,9,13,", —"
1 Паралипоменон,9,14,", —"
1 Паралипоменон,9,31,", —"
1 Паралипоменон,9,31,", —"
1 Паралипоменон,9,35,", —"
1 Паралипоменон,11,5,": —"
1 Паралипоменон,12,2,", —"
1 Паралипоменон,12,14,"Гадових —"
1 Паралипоменон,12,17,", —"
1 Паралипоменон,12,17,", —"
1 Паралипоменон,12,29,", —"
1 Паралипоменон,12,32,", —"
1 Паралипоменон,15,5,", —"
1 Паралипоменон,15,6,", —"
1 Паралипоменон,15,7,", —"
1 Паралипоменон,15,8,", —"
1 Паралипоменон,15,9,", —"
1 Паралипоменон,15,10,", —"
1 Паралипоменон,15,20,"Банея —"
1 Паралипоменон,15,21,"Азазія —"
1 Паралипоменон,16,4,", —"
1 Паралипоменон,16,5,"Асафа —"
1 Паралипоменон,16,38,", —"
1 Паралипоменон,16,38,"Хосу —"
1 Паралипоменон,16,40,"всепалення —"
1 Паралипоменон,17,9,"мій —"
1 Паралипоменон,17,13,", —"
1 Паралипоменон,17,21,"дїло —"
1 Паралипоменон,17,24,", —"
1 Паралипоменон,18,10,", —"
1 Паралипоменон,18,10,"Адраазером —"
1 Паралипоменон,18,12,"долинї —"
1 Паралипоменон,18,17,"сини —"
1 Паралипоменон,19,5,", —"
1 Паралипоменон,19,5,", —"
1 Паралипоменон,20,4,"Хушата —"
1 Паралипоменон,21,5,"Юдеїв —"
1 Паралипоменон,21,20,"побачив —"
1 Паралипоменон,21,20,"його —"
1 Паралипоменон,23,6,"Левіїних —"
1 Паралипоменон,23,31,", —"
1 Паралипоменон,24,4,"синів —"
1 Паралипоменон,24,28,"Махлїя —"
1 Паралипоменон,25,1,", —"
1 Паралипоменон,25,3,", —"
1 Паралипоменон,25,7,", —"
1 Паралипоменон,25,10,"Третій —"
1 Паралипоменон,25,10,"їх —"
1 Паралипоменон,25,11,"Четвертий —"
1 Паралипоменон,25,11,"їх —"
1 Паралипоменон,25,12,"їх —"
1 Паралипоменон,25,13,"їх —"
1 Паралипоменон,25,14,"їх —"
1 Паралипоменон,25,15,"їх —"
1 Паралипоменон,25,16,"їх —"
1 Паралипоменон,25,17,"їх —"
1 Паралипоменон,25,18,"їх —"
1 Паралипоменон,25,19,"їх —"
1 Паралипоменон,25,20,"їх —"
1 Паралипоменон,25,21,"їх —"
1 Паралипоменон,25,22,"їх —"
1 Паралипоменон,25,23,"їх —"
1 Паралипоменон,25,24,"їх —"
1 Паралипоменон,25,25,"їх —"
1 Паралипоменон,25,26,"їх —"
1 Паралипоменон,25,27,"їх —"
1 Паралипоменон,25,28,"їх —"
1 Паралипоменон,25,29,"їх —"
1 Паралипоменон,25,30,"їх —"
1 Паралипоменон,25,31,"їх —"
1 Паралипоменон,26,10,", —"
1 Паралипоменон,26,15,"Едомові —"
1 Паралипоменон,26,15,"його —"
1 Паралипоменон,26,16,"Хосї —"
1 Паралипоменон,26,21,"Герсоненка —"
1 Паралипоменон,26,25,"Елиезера —"
1 Паралипоменон,26,30,"відважні —"
1 Паралипоменон,26,30,"сїмсот —"
1 Паралипоменон,26,32,"здібні —"
1 Паралипоменон,26,32,"сїмсот —"
1 Паралипоменон,27,6,"Банея —"
1 Паралипоменон,27,16,"Симеона —"
1 Паралипоменон,27,17,"Аарона —"
1 Паралипоменон,27,18,"Юди —"
1 Паралипоменон,27,18,"Іссахара —"
1 Паралипоменон,27,19,"Зебулона —"
1 Паралипоменон,27,19,"Нефталїя —"
1 Паралипоменон,27,20,"Ефраїмових —"
1 Паралипоменон,27,20,"Манассіїного —"
1 Паралипоменон,27,21,"Галаадї —"
1 Паралипоменон,27,21,"Бенямина —"
1 Паралипоменон,27,22,"Дана —"
1 Паралипоменон,27,25,"замках —"
1 Паралипоменон,27,26,", —"
1 Паралипоменон,27,27,"виноградниками —"
1 Паралипоменон,27,27,"виноградниках —"
1 Паралипоменон,27,28,"долинї —"
1 Паралипоменон,27,28,"оливи —"
1 Паралипоменон,27,29,", —"
1 Паралипоменон,27,29,"долинах —"
1 Паралипоменон,27,30,"верблюдами —"
1 Паралипоменон,27,30,"ослицями —"
1 Паралипоменон,27,31,"вівцями —"
1 Паралипоменон,27,32,", —"
1 Паралипоменон,27,32,"вчений —"
1 Паралипоменон,27,33,"Архиту —"
1 Паралипоменон,27,34,"Ахитофелові —"
1 Паралипоменон,28,4,"домі —"
1 Паралипоменон,28,5,", —"
1 Паралипоменон,28,5,", —"
1 Паралипоменон,28,9,"Бога —"
1 Паралипоменон,28,19,", —"
1 Паралипоменон,28,19,") —"
1 Паралипоменон,29,3,"того —"
1 Паралипоменон,29,3,"мого —"
1 Паралипоменон,29,20,"! —"
2 Паралипоменон,1,2,"Ізраїлї —"
2 Паралипоменон,1,17,"коня —"
2 Паралипоменон,2,14,", —"
2 Паралипоменон,2,14,", —"
2 Паралипоменон,3,4,"завширшки —"
2 Паралипоменон,4,2,", —"
2 Паралипоменон,4,2,", —"
2 Паралипоменон,4,4,", —"
2 Паралипоменон,4,6,"; —"
2 Паралипоменон,4,22,", —"
2 Паралипоменон,4,22,"сьвятиню —"
2 Паралипоменон,5,5,", —"
2 Паралипоменон,5,7,"храму —"
2 Паралипоменон,5,12,", —"
2 Паралипоменон,6,3,"Ізраїлський —"
2 Паралипоменон,6,3,", —"
2 Паралипоменон,6,9,", —"
2 Паралипоменон,6,12,", —"
2 Паралипоменон,6,13,"двора —"
2 Паралипоменон,6,26,", —"
2 Паралипоменон,6,28,", —"
2 Паралипоменон,6,30,", —"
2 Паралипоменон,6,32,", —"
2 Паралипоменон,6,32,", —"
2 Паралипоменон,6,36,", —"
2 Паралипоменон,6,36,", —"
2 Паралипоменон,6,38,", —"
2 Паралипоменон,7,6,"Господа —"
2 Паралипоменон,7,6,"ними —"
2 Паралипоменон,7,8,"ним —"
2 Паралипоменон,7,22,", —"
2 Паралипоменон,8,7,", —"
2 Паралипоменон,8,8,", —"
2 Паралипоменон,8,13,", —"
2 Паралипоменон,8,14,"він —"
2 Паралипоменон,8,14,", —"
2 Паралипоменон,9,15,", —"
2 Паралипоменон,9,15,", —"
2 Паралипоменон,9,16,", —"
2 Паралипоменон,9,25,"цареві —"
2 Паралипоменон,10,10,"нам —"
2 Паралипоменон,10,16,". —"
2 Паралипоменон,11,21,", —"
2 Паралипоменон,12,2,", —"
2 Паралипоменон,12,2,", —"
2 Паралипоменон,13,3,", —"
2 Паралипоменон,14,7,", —"
2 Паралипоменон,14,8,", —"
2 Паралипоменон,18,3,", —"
2 Паралипоменон,18,7,"; —"
2 Паралипоменон,18,13,", —"
2 Паралипоменон,18,16,", —"
2 Паралипоменон,19,10,", —"
2 Паралипоменон,20,10,", —"
2 Паралипоменон,20,19,"Кореєвих —"
2 Паралипоменон,20,24,"ось —"
2 Паралипоменон,20,37,". —"
2 Паралипоменон,21,13,", —"
2 Паралипоменон,21,13,", —"
2 Паралипоменон,21,15,"самого —"
2 Паралипоменон,22,1,", —"
2 Паралипоменон,23,13,", —"
2 Паралипоменон,24,18,", —"
2 Паралипоменон,25,19,", —"
2 Паралипоменон,26,13,"сили —"
2 Паралипоменон,26,19,", —"
2 Паралипоменон,26,19,", —"
2 Паралипоменон,28,22,"він —"
2 Паралипоменон,29,12,"Азарієнко —"
2 Паралипоменон,29,31,", —"
2 Паралипоменон,29,32,"ягнят —"
2 Паралипоменон,30,13,", —"
2 Паралипоменон,31,16,", —"
2 Паралипоменон,31,18,", —"
2 Паралипоменон,31,20,", —"
2 Паралипоменон,32,9,", —"
2 Паралипоменон,32,9,", —"
2 Паралипоменон,32,19,", —"
2 Паралипоменон,34,22,", —"
2 Паралипоменон,34,22,", —"
2 Паралипоменон,34,27,", —"
2 Паралипоменон,36,13,", —"
2 Паралипоменон,36,17,", —"
2 Паралипоменон,36,22,", —"
2 Паралипоменон,36,22,", —"
2 Паралипоменон,36,23,"вами —"
Ездри,1,1,", —"
Ездри,1,1,", —"
Ездри,1,3,", —"
Ездри,1,3,"ним —"
Ездри,1,7,", —"
Ездри,2,1,", —"
Ездри,2,21,", —"
Ездри,2,42,", —"
Ездри,2,58,"Усього —"
Ездри,2,59,"племя —"
Ездри,2,66,"їх —"
Ездри,4,5,"дїло —"
Ездри,4,9,", —"
Ездри,4,11,"Артаксерксові —"
Ездри,4,15,"місто —"
Ездри,4,19,", —"
Ездри,5,6,"товаришами —"
Ездри,5,7,"цареві —"
Ездри,5,11,", —"
Ездри,5,14,", —"
Ездри,6,8,"поборів —"
Ездри,6,9,"потрібно —"
Ездри,6,20,", —"
Ездри,7,5,", —"
Ездри,7,5,", —"
Ездри,7,7,"нетинеїв —"
Ездри,7,8,", —"
Ездри,7,9,", —"
Ездри,7,25,", —"
Ездри,8,2,"Пинеесових —"
Ездри,8,2,"Ітамарових —"
Ездри,8,2,"Давидових —"
Ездри,8,3,"Пароша —"
Ездри,8,5,"Шеханїя —"
Ездри,8,16,"Мешуллама —"
Ездри,8,16,"Елнатана —"
Ездри,8,19,"їх —"
Ездри,8,25,", —"
Ездри,8,28,"золото —"
Ездри,8,35,"гріх —"
Ездри,9,11,"їй —"
Ездри,9,13,"наші —"
Ездри,9,13,", —"
Ездри,10,18,"чужоплеміннїх —"
Ездри,10,25,"Ізрайлитян —"
Неємії,1,6,"согрішили —"
Неємії,1,11,", —"
Неємії,2,18,", —"
Неємії,3,15,", —"
Неємії,4,22,", —"
Неємії,6,1,", —"
Неємії,6,1,", —"
Неємії,7,6,", —"
Неємії,7,45,"Шовайові —"
Неємії,7,62,"Некодині —"
Неємії,7,68,"їх —"
Неємії,9,5,"левіти —"
Неємії,10,34,", —"
Неємії,11,3,", —"
Неємії,11,8,", —"
Неємії,11,12,"Божому —"
Неємії,11,13,"поколїннях —"
Неємії,11,14,", —"
Неємії,11,19,"брам —"
Неємії,12,12,"Сараіїного —"
Неємії,12,12,"Ереміїного —"
Неємії,12,13,"Ездриного —"
Неємії,12,13,"Амаріїного —"
Неємії,12,14,"Мелиху —"
Неємії,12,14,"Шеванїїного —"
Неємії,12,15,"Харимового —"
Неємії,12,15,"Мерайотового —"
Неємії,12,16,"Іддо —"
Неємії,12,16,"Гіннетонового —"
Неємії,12,17,"Авіїного —"
Неємії,12,17,"Моадіїного —"
Неємії,12,18,"Вилгиного —"
Неємії,12,18,"Шемаїїного —"
Неємії,12,19,"Йояривого —"
Неємії,12,19,"Едаїїного —"
Неємії,12,20,"Саллайового —"
Неємії,12,20,"Аммокового —"
Неємії,12,21,"Хелкіїного —"
Неємії,12,21,"Едаїїного —"
Неємії,12,24,"Божого —"
Неємії,12,25,"Аккув —"
Естери,1,1,", —"
Естери,1,1,", —"
Естери,1,10,"Каркасові —"
Естери,1,13,", —"
Естери,1,13,", —"
Естери,1,14,", —"
Естери,2,7,", —"
Естери,2,7,", —"
Естери,2,12,", —"
Естери,2,12,"; —"
Естери,2,14,", —"
Естери,2,15,", —"
Естери,2,18,", —"
Естери,3,7,", —"
Естери,3,7,", —"
Естери,3,7,", —"
Естери,3,12,", —"
Естери,4,11,"присуд —"
Естери,4,16,"загинути —"
Естери,6,9,", —"
Естери,7,6,"супротивник —"
Естери,8,9,"Етиопиї —"
Естери,8,11,", —"
Естери,9,1,", —"
Естери,9,9,"Ваєзата —"
Естери,9,22,"сумуваннє —"
Естери,9,22,", —"
Йова,1,11,", —"
Йова,1,15,"се —"
Йова,2,5,", —"
Йова,3,6,"тая —"
Йова,3,7,"тая —"
Йова,4,2,", —"
Йова,4,6,"твоїх —"
Йова,4,16,"хтось —"
Йова,4,16,", —"
Йова,4,16,"повів —"
Йова,5,20,"війнї —"
Йова,6,21,"тепер —"
Йова,6,29,", —"
Йова,7,7,"моє —"
Йова,7,8,", —"
Йова,7,16,", —"
Йова,8,2,"? —"
Йова,8,8,", —"
Йова,8,9,", —"
Йова,8,14,"його —"
Йова,8,21,"твої —"
Йова,9,7,", —"
Йова,9,25,", —"
Йова,9,34,", —"
Йова,10,8,", —"
Йова,10,13,", —"
Йова,10,13,", —"
Йова,10,21,"пійду —"
Йова,10,21,"вернусь —"
Йова,11,8,", —"
Йова,11,8,", —"
Йова,11,11,", —"
Йова,12,4,"посьміхом —"
Йова,12,7,", —"
Йова,12,15,", —"
Йова,12,15,", —"
Йова,13,12,"ваші —"
Йова,14,9,"; —"
Йова,14,21,"вони —"
Йова,15,24,", —"
Йова,16,6,", —"
Йова,16,6,", —"
Йова,16,16,", —"
Йова,17,11,"мої —"
Йова,17,11,"серцю —"
Йова,17,13,"гріб —"
Йова,19,16,", —"
Йова,19,23,", —"
Йова,19,25,"знаю —"
Йова,20,4,", —"
Йова,20,4,", —"
Йова,20,6,", —"
Йова,20,13,", —"
Йова,20,24,", —"
Йова,20,25,"тїла —"
Йова,21,16,". —"
Йова,21,19,". —"
Йова,21,32,"його —"
Йова,22,14,"Хмарі —"
Йова,22,18,". —"
Йова,22,18,"! —"
Йова,22,20,"ті —"
Йова,22,20,"їх —"
Йова,22,21,"його —"
Йова,22,23,", —"
Йова,22,23,", —"
Йова,22,24,"каміннєм —"
Йова,23,7,"ним —"
Йова,23,8,"вперед —"
Йова,23,10,", —"
Йова,23,15,"думаю —"
Йова,24,5,", —"
Йова,24,10,"голодних —"
Йова,24,15,", —"
Йова,24,17,"тьма —"
Йова,24,18,"собі —"
Йова,24,19,"безодня —"
Йова,24,23,", —"
Йова,24,23,"вповає —"
Йова,24,24,", —"
Йова,25,6,"чоловік —"
Йова,25,6,", —"
Йова,27,18,", —"
Йова,28,6,"її —"
Йова,28,18,"премудрість —"
Йова,28,26,", —"
Йова,28,28,"Господень —"
Йова,28,28,"злого —"
Йова,29,24,"них —"
Йова,30,2,"їх —"
Йова,30,4,", —"
Йова,30,4,"ялівцю —"
Йова,30,20,", —"
Йова,31,4,", —"
Йова,31,5,", —"
Йова,31,19,", —"
Йова,31,40,"ячменю —"
Йова,32,11,", —"
Йова,33,5,", —"
Йова,33,23,", —"
Йова,34,6,"рана —"
Йова,34,10,"Вседержителя —"
Йова,34,14,", —"
Йова,34,18,"ти —"
Йова,34,18,"ви —"
Йова,34,19,"вони —"
Йова,34,29,", —"
Йова,34,29,"? —"
Йова,34,31,", —"
Йова,34,32,", —"
Йова,35,14,", —"
Йова,36,8,"нужди —"
Йова,36,12,", —"
Йова,36,13,"же —"
Йова,36,17,"присуд —"
Йова,36,19,", —"
Йова,37,3,"його —"
Йова,37,9,"ж —"
Йова,38,29,"воздусї —"
Йова,39,7,"Сьміх —"
Йова,39,18,", —"
Йова,39,35,"говорив —"
Йова,39,35,"; —"
Йова,40,12,"його —"
Йова,40,13,"костї —"
Йова,40,14,"Се —"
Йова,40,27,", —"
Йова,41,6,"його —"
Йова,41,7,"його —"
Йова,41,10,"він —"
Йова,41,19,"йому —"
Йова,41,19,"мідь —"
Йова,41,20,"пращі —"
Йова,41,21,"Друк —"
Йова,41,23,"морська —"
Йова,42,3,", —"
Псалтирь,7,4,", —"
Псалтирь,9,6,"віки —"
Псалтирь,12,5,", —"
Псалтирь,12,6,"Господнї —"
Псалтирь,17,3,"переглянув —"
Псалтирь,18,11,"себе —"
Псалтирь,18,13,"голос —"
Псалтирь,18,25,"звершеного —"
Псалтирь,18,26,"лукавого —"
Псалтирь,18,41,", —"
Псалтирь,18,41,", —"
Псалтирь,19,12,"Провини —"
Псалтирь,21,11,", —"
Псалтирь,22,1,"мене —"
Псалтирь,25,10,"Господнї —"
Псалтирь,27,2,", —"
Псалтирь,29,8,"його —"
Псалтирь,30,7,", —"
Псалтирь,31,13,"людей —"
Псалтирь,31,13,"пострах —"
Псалтирь,32,6,"повінь —"
Псалтирь,33,6,"їх —"
Псалтирь,33,12,", —"
Псалтирь,35,8,", —"
Псалтирь,40,9,"я —"
Псалтирь,42,4,"хвали —"
Псалтирь,45,6,"правоти —"
Псалтирь,46,4,"Ріка —"
Псалтирь,46,6,"голос —"
Псалтирь,48,14,"наш —"
Псалтирь,49,2,"мужів —"
Псалтирь,50,11,"полях —"
Псалтирь,55,21,"вони —"
Псалтирь,57,4,"зуби —"
Псалтирь,64,7,"нараз —"
Псалтирь,67,4,"землї —"
Псалтирь,68,4,"пустинї —"
Псалтирь,68,4,"його —"
Псалтирь,68,8,"земля —"
Псалтирь,68,8,"Богом —"
Псалтирь,68,17,"ними —"
Псалтирь,69,13,", —"
Псалтирь,73,2,"я —"
Псалтирь,73,6,"бута —"
Псалтирь,73,6,"насильства —"
Псалтирь,73,26,"моя —"
Псалтирь,74,2,", —"
Псалтирь,74,8,"! —"
Псалтирь,75,4,", —"
Псалтирь,75,4,", —"
Псалтирь,77,16,"і —"
Псалтирь,78,35,"всевишнїй —"
Псалтирь,84,11,"Бог —"
Псалтирь,88,18,". —"
Псалтирь,89,9,", —"
Псалтирь,89,12,"полудень —"
Псалтирь,89,14,"суд —"
Псалтирь,90,5,"вони —"
Псалтирь,90,10,"їх —"
Псалтирь,91,7,", —"
Псалтирь,94,8,", —"
Псалтирь,94,17,", —"
Псалтирь,96,3,"родами —"
Псалтирь,97,2,"суд —"
Псалтирь,98,9,"правотї —"
Псалтирь,99,3,"страшне —"
Псалтирь,100,3,", —"
Псалтирь,102,25,"небеса —"
Псалтирь,103,1,"моє —"
Псалтирь,103,15,", —"
Псалтирь,104,4,"твої —"
Псалтирь,104,18,"скелї —"
Псалтирь,107,17,"Безумні —"
Псалтирь,107,34,"землю —"
Псалтирь,108,8,"Єфрем —"
Псалтирь,111,10,"Господом —"
Псалтирь,114,4,"горби —"
Псалтирь,115,4,"їх —"
Псалтирь,118,10,", —"
Псалтирь,118,11,", —"
Псалтирь,118,12,"певна —"
Псалтирь,124,1,"нами —"
Псалтирь,124,1,"! —"
Псалтирь,129,1,", —"
Псалтирь,129,1,"Ізраїль —"
Псалтирь,130,3,", —"
Псалтирь,135,4,"Ізраїля —"
Псалтирь,135,15,"народів —"
Псалтирь,139,6,"надто —"
Псалтирь,139,8,", —"
Псалтирь,139,12,"тьма —"
Псалтирь,140,7,"Господь —"
Псалтирь,141,5,", —"
Псалтирь,141,5,", —"
Псалтирь,144,15,"Господь —"
Псалтирь,147,18,", —"
Приповісток,1,7,"премудростї —"
Приповісток,1,11,"чесного —"
Приповісток,1,12,", —"
Приповісток,1,14,", —"
Приповісток,1,28,", —"
Приповісток,1,28,", —"
Приповісток,2,4,", —"
Приповісток,3,3,", —"
Приповісток,3,16,"неї —"
Приповісток,3,16,"неї —"
Приповісток,3,17,"її —"
Приповісток,3,17,"її —"
Приповісток,3,18,"Вона —"
Приповісток,3,24,"меш —"
Приповісток,3,24,", —"
Приповісток,4,7,"річ —"
Приповісток,4,9,", —"
Приповісток,4,12,", —"
Приповісток,4,12,"побіжиш —"
Приповісток,4,18,"праведних —"
Приповісток,4,19,"безбожників —"
Приповісток,5,6,"її —"
Приповісток,5,11,", —"
Приповісток,5,18,", —"
Приповісток,6,1,", —"
Приповісток,6,3,", —"
